easting,northing,name,elevation
614396.9047619047,3339977.380952381,gauge_00,0
614396.9047619047,3340967.761904762,gauge_01,0
614396.9047619047,3341958.1428571427,gauge_02,0
614396.9047619047,3342948.523809524,gauge_03,0
614396.9047619047,3343938.904761905,gauge_04,0
614396.9047619047,3344929.285714286,gauge_05,0
614396.9047619047,3345919.6666666665,gauge_06,0
614396.9047619047,3346910.0476190476,gauge_07,0
614396.9047619047,3347900.4285714286,gauge_08,0
614396.9047619047,3348890.8095238097,gauge_09,0
614396.9047619047,3349881.1904761903,gauge_010,0
614396.9047619047,3350871.5714285714,gauge_011,0
614396.9047619047,3351861.9523809524,gauge_012,0
614396.9047619047,3352852.3333333335,gauge_013,0
614396.9047619047,3353842.714285714,gauge_014,0
614396.9047619047,3354833.095238095,gauge_015,0
614396.9047619047,3355823.476190476,gauge_016,0
614396.9047619047,3356813.8571428573,gauge_017,0
614396.9047619047,3357804.238095238,gauge_018,0
614396.9047619047,3358794.619047619,gauge_019,0
615438.8095238095,3339977.380952381,gauge_10,0
615438.8095238095,3340967.761904762,gauge_11,0
615438.8095238095,3341958.1428571427,gauge_12,0
615438.8095238095,3342948.523809524,gauge_13,0
615438.8095238095,3343938.904761905,gauge_14,0
615438.8095238095,3344929.285714286,gauge_15,0
615438.8095238095,3345919.6666666665,gauge_16,0
615438.8095238095,3346910.0476190476,gauge_17,0
615438.8095238095,3347900.4285714286,gauge_18,0
615438.8095238095,3348890.8095238097,gauge_19,0
615438.8095238095,3349881.1904761903,gauge_110,0
615438.8095238095,3350871.5714285714,gauge_111,0
615438.8095238095,3351861.9523809524,gauge_112,0
615438.8095238095,3352852.3333333335,gauge_113,0
615438.8095238095,3353842.714285714,gauge_114,0
615438.8095238095,3354833.095238095,gauge_115,0
615438.8095238095,3355823.476190476,gauge_116,0
615438.8095238095,3356813.8571428573,gauge_117,0
615438.8095238095,3357804.238095238,gauge_118,0
615438.8095238095,3358794.619047619,gauge_119,0
616480.7142857143,3339977.380952381,gauge_20,0
616480.7142857143,3340967.761904762,gauge_21,0
616480.7142857143,3341958.1428571427,gauge_22,0
616480.7142857143,3342948.523809524,gauge_23,0
616480.7142857143,3343938.904761905,gauge_24,0
616480.7142857143,3344929.285714286,gauge_25,0
616480.7142857143,3345919.6666666665,gauge_26,0
616480.7142857143,3346910.0476190476,gauge_27,0
616480.7142857143,3347900.4285714286,gauge_28,0
616480.7142857143,3348890.8095238097,gauge_29,0
616480.7142857143,3349881.1904761903,gauge_210,0
616480.7142857143,3350871.5714285714,gauge_211,0
616480.7142857143,3351861.9523809524,gauge_212,0
616480.7142857143,3352852.3333333335,gauge_213,0
616480.7142857143,3353842.714285714,gauge_214,0
616480.7142857143,3354833.095238095,gauge_215,0
616480.7142857143,3355823.476190476,gauge_216,0
616480.7142857143,3356813.8571428573,gauge_217,0
616480.7142857143,3357804.238095238,gauge_218,0
616480.7142857143,3358794.619047619,gauge_219,0
617522.619047619,3339977.380952381,gauge_30,0
617522.619047619,3340967.761904762,gauge_31,0
617522.619047619,3341958.1428571427,gauge_32,0
617522.619047619,3342948.523809524,gauge_33,0
617522.619047619,3343938.904761905,gauge_34,0
617522.619047619,3344929.285714286,gauge_35,0
617522.619047619,3345919.6666666665,gauge_36,0
617522.619047619,3346910.0476190476,gauge_37,0
617522.619047619,3347900.4285714286,gauge_38,0
617522.619047619,3348890.8095238097,gauge_39,0
617522.619047619,3349881.1904761903,gauge_310,0
617522.619047619,3350871.5714285714,gauge_311,0
617522.619047619,3351861.9523809524,gauge_312,0
617522.619047619,3352852.3333333335,gauge_313,0
617522.619047619,3353842.714285714,gauge_314,0
617522.619047619,3354833.095238095,gauge_315,0
617522.619047619,3355823.476190476,gauge_316,0
617522.619047619,3356813.8571428573,gauge_317,0
617522.619047619,3357804.238095238,gauge_318,0
617522.619047619,3358794.619047619,gauge_319,0
618564.5238095238,3339977.380952381,gauge_40,0
618564.5238095238,3340967.761904762,gauge_41,0
618564.5238095238,3341958.1428571427,gauge_42,0
618564.5238095238,3342948.523809524,gauge_43,0
618564.5238095238,3343938.904761905,gauge_44,0
618564.5238095238,3344929.285714286,gauge_45,0
618564.5238095238,3345919.6666666665,gauge_46,0
618564.5238095238,3346910.0476190476,gauge_47,0
618564.5238095238,3347900.4285714286,gauge_48,0
618564.5238095238,3348890.8095238097,gauge_49,0
618564.5238095238,3349881.1904761903,gauge_410,0
618564.5238095238,3350871.5714285714,gauge_411,0
618564.5238095238,3351861.9523809524,gauge_412,0
618564.5238095238,3352852.3333333335,gauge_413,0
618564.5238095238,3353842.714285714,gauge_414,0
618564.5238095238,3354833.095238095,gauge_415,0
618564.5238095238,3355823.476190476,gauge_416,0
618564.5238095238,3356813.8571428573,gauge_417,0
618564.5238095238,3357804.238095238,gauge_418,0
618564.5238095238,3358794.619047619,gauge_419,0
619606.4285714285,3339977.380952381,gauge_50,0
619606.4285714285,3340967.761904762,gauge_51,0
619606.4285714285,3341958.1428571427,gauge_52,0
619606.4285714285,3342948.523809524,gauge_53,0
619606.4285714285,3343938.904761905,gauge_54,0
619606.4285714285,3344929.285714286,gauge_55,0
619606.4285714285,3345919.6666666665,gauge_56,0
619606.4285714285,3346910.0476190476,gauge_57,0
619606.4285714285,3347900.4285714286,gauge_58,0
619606.4285714285,3348890.8095238097,gauge_59,0
619606.4285714285,3349881.1904761903,gauge_510,0
619606.4285714285,3350871.5714285714,gauge_511,0
619606.4285714285,3351861.9523809524,gauge_512,0
619606.4285714285,3352852.3333333335,gauge_513,0
619606.4285714285,3353842.714285714,gauge_514,0
619606.4285714285,3354833.095238095,gauge_515,0
619606.4285714285,3355823.476190476,gauge_516,0
619606.4285714285,3356813.8571428573,gauge_517,0
619606.4285714285,3357804.238095238,gauge_518,0
619606.4285714285,3358794.619047619,gauge_519,0
620648.3333333334,3339977.380952381,gauge_60,0
620648.3333333334,3340967.761904762,gauge_61,0
620648.3333333334,3341958.1428571427,gauge_62,0
620648.3333333334,3342948.523809524,gauge_63,0
620648.3333333334,3343938.904761905,gauge_64,0
620648.3333333334,3344929.285714286,gauge_65,0
