easting,northing,name,elevation
634506.0,3343667.0,gauge_1,0
629314.63,3344018.6,gauge_2,0
631454.586,3346129.0,gauge_3,0
630650.0,3348031.0,gauge_4,0
628065.63,3347930.6,gauge_5,0
625784.63,3346684.24,gauge_6,0
624271.63,3347257.6,gauge_7,0
623328.63,3346991.6,gauge_8,0
621048.63,3347950.6,gauge_9,0
619723.63,3348832.6,gauge_10,0
619723.63,3349079.6,gauge_11,0
618339.63,3348669.6,gauge_12,0
617570.63,3350231.6,gauge_13,0
616752.675,3351639.6,gauge_14,0
616727.63,3352287.6,gauge_15,0
617548.63,3353804.6,gauge_16,0
617202.63,3356190.6,gauge_17,0
616043.63,3357852.6,gauge_18,0
613697.5,3356877.7,gauge_19,0
624260.63,3346250.6,gauge_20,0
622164.63,3347436.6,gauge_21,0
622592.63,3349124.6,gauge_22,0
621214.63,3350031.6,gauge_23,0
621699.63,3351439.6,gauge_24,0
622484.63,3353222.6,gauge_25,0
629726.63,3350047.6,gauge_26,0
626565.63,3347742.6,gauge_27,0
622450.63,3347861.6,gauge_28,0
617251.63,3351229.6,gauge_29,0
618228.63,3353864.6,gauge_30,0
627529.63,3346846.6,gauge_31,0
624492.63,3346939.6,gauge_32,0
621463.63,3356952.6,gauge_33,0
620120.63,3348493.6,gauge_34,0
618553.63,3348751.6,gauge_35,0
618403.63,3353851.6,gauge_36,0
618837.63,3353676.6,gauge_37,0
619943.63,3351214.6,gauge_38,0
618887.63,3351325.6,gauge_39,0
617968.63,3351209.6,gauge_40,0
616708.63,3352271.6,gauge_41,0
616696.7,3351594.169,gauge_42,0
617247.7272727272,3351183.3636363638,gauge_0_0,0
617247.7272727272,3351437.727272727,gauge_0_1,0
617247.7272727272,3351692.090909091,gauge_0_2,0
617247.7272727272,3351946.4545454546,gauge_0_3,0
617247.7272727272,3352200.8181818184,gauge_0_4,0
617247.7272727272,3352455.1818181816,gauge_0_5,0
617247.7272727272,3352709.5454545454,gauge_0_6,0
617247.7272727272,3352963.909090909,gauge_0_7,0
617247.7272727272,3353218.272727273,gauge_0_8,0
617247.7272727272,3353472.6363636362,gauge_0_9,0
617406.7545454545,3351183.3636363638,gauge_1_0,0
617406.7545454545,3351437.727272727,gauge_1_1,0
617406.7545454545,3351692.090909091,gauge_1_2,0
617406.7545454545,3351946.4545454546,gauge_1_3,0
617406.7545454545,3352200.8181818184,gauge_1_4,0
617406.7545454545,3352455.1818181816,gauge_1_5,0
617406.7545454545,3352709.5454545454,gauge_1_6,0
617406.7545454545,3352963.909090909,gauge_1_7,0
617406.7545454545,3353218.272727273,gauge_1_8,0
617406.7545454545,3353472.6363636362,gauge_1_9,0
617565.7818181817,3351183.3636363638,gauge_2_0,0
617565.7818181817,3351437.727272727,gauge_2_1,0
617565.7818181817,3351692.090909091,gauge_2_2,0
617565.7818181817,3351946.4545454546,gauge_2_3,0
617565.7818181817,3352200.8181818184,gauge_2_4,0
617565.7818181817,3352455.1818181816,gauge_2_5,0
617565.7818181817,3352709.5454545454,gauge_2_6,0
617565.7818181817,3352963.909090909,gauge_2_7,0
617565.7818181817,3353218.272727273,gauge_2_8,0
617565.7818181817,3353472.6363636362,gauge_2_9,0
617724.8090909091,3351183.3636363638,gauge_3_0,0
617724.8090909091,3351437.727272727,gauge_3_1,0
617724.8090909091,3351692.090909091,gauge_3_2,0
617724.8090909091,3351946.4545454546,gauge_3_3,0
617724.8090909091,3352200.8181818184,gauge_3_4,0
617724.8090909091,3352455.1818181816,gauge_3_5,0
617724.8090909091,3352709.5454545454,gauge_3_6,0
617724.8090909091,3352963.909090909,gauge_3_7,0
617724.8090909091,3353218.272727273,gauge_3_8,0
617724.8090909091,3353472.6363636362,gauge_3_9,0
617883.8363636363,3351183.3636363638,gauge_4_0,0
617883.8363636363,3351437.727272727,gauge_4_1,0
617883.8363636363,3351692.090909091,gauge_4_2,0
617883.8363636363,3351946.4545454546,gauge_4_3,0
617883.8363636363,3352200.8181818184,gauge_4_4,0
617883.8363636363,3352455.1818181816,gauge_4_5,0
617883.8363636363,3352709.5454545454,gauge_4_6,0
617883.8363636363,3352963.909090909,gauge_4_7,0
617883.8363636363,3353218.272727273,gauge_4_8,0
617883.8363636363,3353472.6363636362,gauge_4_9,0
618042.8636363636,3351183.3636363638,gauge_5_0,0
618042.8636363636,3351437.727272727,gauge_5_1,0
618042.8636363636,3351692.090909091,gauge_5_2,0
618042.8636363636,3351946.4545454546,gauge_5_3,0
618042.8636363636,3352200.8181818184,gauge_5_4,0
618042.8636363636,3352455.1818181816,gauge_5_5,0
618042.8636363636,3352709.5454545454,gauge_5_6,0
618042.8636363636,3352963.909090909,gauge_5_7,0
618042.8636363636,3353218.272727273,gauge_5_8,0
618042.8636363636,3353472.6363636362,gauge_5_9,0
618201.8909090909,3351183.3636363638,gauge_6_0,0
618201.8909090909,3351437.727272727,gauge_6_1,0
618201.8909090909,3351692.090909091,gauge_6_2,0
618201.8909090909,3351946.4545454546,gauge_6_3,0
618201.8909090909,3352200.8181818184,gauge_6_4,0
618201.8909090909,3352455.1818181816,gauge_6_5,0
618201.8909090909,3352709.5454545454,gauge_6_6,0
618201.8909090909,3352963.909090909,gauge_6_7,0
618201.8909090909,3353218.272727273,gauge_6_8,0
618201.8909090909,3353472.6363636362,gauge_6_9,0
618360.9181818182,3351183.3636363638,gauge_7_0,0
618360.9181818182,3351437.727272727,gauge_7_1,0
618360.9181818182,3351692.090909091,gauge_7_2,0
618360.9181818182,3351946.4545454546,gauge_7_3,0
618360.9181818182,3352200.8181818184,gauge_7_4,0
618360.9181818182,3352455.1818181816,gauge_7_5,0
618360.9181818182,3352709.5454545454,gauge_7_6,0
618360.9181818182,3352963.909090909,gauge_7_7,0
618360.9181818182,3353218.272727273,gauge_7_8,0
618360.9181818182,3353472.6363636362,gauge_7_9,0
618519.9454545454,3351183.3636363638,gauge_8_0,0
618519.9454545454,3351437.727272727,gauge_8_1,0
618519.9454545454,3351692.090909091,gauge_8_2,0
618519.9454545454,3351946.4545454546,gauge_8_3,0
618519.9454545454,3352200.8181818184,gauge_8_4,0
618519.9454545454,3352455.1818181816,gauge_8_5,0
618519.9454545454,3352709.5454545454,gauge_8_6,0
618519.9454545454,3352963.909090909,gauge_8_7,0
618519.9454545454,3353218.272727273,gauge_8_8,0
618519.9454545454,3353472.6363636362,gauge_8_9,0
618678.9727272728,3351183.3636363638,gauge_9_0,0
618678.9727272728,3351437.727272727,gauge_9_1,0
618678.9727272728,3351692.090909091,gauge_9_2,0
618678.9727272728,3351946.4545454546,gauge_9_3,0
618678.9727272728,3352200.8181818184,gauge_9_4,0
618678.9727272728,3352455.1818181816,gauge_9_5,0
618678.9727272728,3352709.5454545454,gauge_9_6,0
618678.9727272728,3352963.909090909,gauge_9_7,0
