easting,northing,name,elevation
613571.6336633663,3339192.920792079,gauge_00,0
613571.6336633663,3339398.8415841586,gauge_01,0
613571.6336633663,3339604.7623762377,gauge_02,0
613571.6336633663,3339810.6831683167,gauge_03,0
613571.6336633663,3340016.6039603963,gauge_04,0
613571.6336633663,3340222.5247524753,gauge_05,0
613571.6336633663,3340428.4455445544,gauge_06,0
613571.6336633663,3340634.3663366335,gauge_07,0
613571.6336633663,3340840.287128713,gauge_08,0
613571.6336633663,3341046.207920792,gauge_09,0
613571.6336633663,3341252.128712871,gauge_010,0
613571.6336633663,3341458.0495049506,gauge_011,0
613571.6336633663,3341663.9702970297,gauge_012,0
613571.6336633663,3341869.891089109,gauge_013,0
613571.6336633663,3342075.8118811883,gauge_014,0
613571.6336633663,3342281.7326732674,gauge_015,0
613571.6336633663,3342487.6534653464,gauge_016,0
613571.6336633663,3342693.574257426,gauge_017,0
613571.6336633663,3342899.495049505,gauge_018,0
613571.6336633663,3343105.415841584,gauge_019,0
613571.6336633663,3343311.336633663,gauge_020,0
613571.6336633663,3343517.2574257427,gauge_021,0
613571.6336633663,3343723.1782178218,gauge_022,0
613571.6336633663,3343929.099009901,gauge_023,0
613571.6336633663,3344135.0198019804,gauge_024,0
613571.6336633663,3344340.9405940594,gauge_025,0
613571.6336633663,3344546.8613861385,gauge_026,0
613571.6336633663,3344752.782178218,gauge_027,0
613571.6336633663,3344958.702970297,gauge_028,0
613571.6336633663,3345164.623762376,gauge_029,0
613571.6336633663,3345370.5445544557,gauge_030,0
613571.6336633663,3345576.4653465347,gauge_031,0
613571.6336633663,3345782.386138614,gauge_032,0
613571.6336633663,3345988.306930693,gauge_033,0
613571.6336633663,3346194.2277227724,gauge_034,0
613571.6336633663,3346400.1485148515,gauge_035,0
613571.6336633663,3346606.0693069305,gauge_036,0
613571.6336633663,3346811.99009901,gauge_037,0
613571.6336633663,3347017.910891089,gauge_038,0
613571.6336633663,3347223.831683168,gauge_039,0
613571.6336633663,3347429.7524752477,gauge_040,0
613571.6336633663,3347635.673267327,gauge_041,0
613571.6336633663,3347841.594059406,gauge_042,0
613571.6336633663,3348047.5148514854,gauge_043,0
613571.6336633663,3348253.4356435644,gauge_044,0
613571.6336633663,3348459.3564356435,gauge_045,0
613571.6336633663,3348665.2772277226,gauge_046,0
613571.6336633663,3348871.198019802,gauge_047,0
613571.6336633663,3349077.118811881,gauge_048,0
613571.6336633663,3349283.0396039602,gauge_049,0
613571.6336633663,3349488.9603960398,gauge_050,0
613571.6336633663,3349694.881188119,gauge_051,0
613571.6336633663,3349900.801980198,gauge_052,0
613571.6336633663,3350106.7227722774,gauge_053,0
613571.6336633663,3350312.6435643565,gauge_054,0
613571.6336633663,3350518.5643564356,gauge_055,0
613571.6336633663,3350724.4851485146,gauge_056,0
613571.6336633663,3350930.405940594,gauge_057,0
613571.6336633663,3351136.326732673,gauge_058,0
613571.6336633663,3351342.2475247523,gauge_059,0
613571.6336633663,3351548.168316832,gauge_060,0
613571.6336633663,3351754.089108911,gauge_061,0
613571.6336633663,3351960.00990099,gauge_062,0
613571.6336633663,3352165.9306930695,gauge_063,0
613571.6336633663,3352371.8514851485,gauge_064,0
613571.6336633663,3352577.7722772276,gauge_065,0
613571.6336633663,3352783.693069307,gauge_066,0
613571.6336633663,3352989.613861386,gauge_067,0
613571.6336633663,3353195.5346534653,gauge_068,0
613571.6336633663,3353401.4554455443,gauge_069,0
613571.6336633663,3353607.376237624,gauge_070,0
613571.6336633663,3353813.297029703,gauge_071,0
613571.6336633663,3354019.217821782,gauge_072,0
613571.6336633663,3354225.1386138615,gauge_073,0
613571.6336633663,3354431.0594059406,gauge_074,0
613571.6336633663,3354636.9801980196,gauge_075,0
613571.6336633663,3354842.900990099,gauge_076,0
613571.6336633663,3355048.8217821782,gauge_077,0
613571.6336633663,3355254.7425742573,gauge_078,0
613571.6336633663,3355460.663366337,gauge_079,0
613571.6336633663,3355666.584158416,gauge_080,0
613571.6336633663,3355872.504950495,gauge_081,0
613571.6336633663,3356078.425742574,gauge_082,0
613571.6336633663,3356284.3465346536,gauge_083,0
613571.6336633663,3356490.2673267326,gauge_084,0
613571.6336633663,3356696.1881188117,gauge_085,0
613571.6336633663,3356902.108910891,gauge_086,0
613571.6336633663,3357108.0297029703,gauge_087,0
613571.6336633663,3357313.9504950494,gauge_088,0
613571.6336633663,3357519.871287129,gauge_089,0
613571.6336633663,3357725.792079208,gauge_090,0
613571.6336633663,3357931.712871287,gauge_091,0
613571.6336633663,3358137.6336633665,gauge_092,0
613571.6336633663,3358343.5544554456,gauge_093,0
613571.6336633663,3358549.4752475247,gauge_094,0
613571.6336633663,3358755.3960396037,gauge_095,0
613571.6336633663,3358961.3168316833,gauge_096,0
613571.6336633663,3359167.2376237623,gauge_097,0
613571.6336633663,3359373.1584158414,gauge_098,0
613571.6336633663,3359579.079207921,gauge_099,0
613788.2673267326,3339192.920792079,gauge_10,0
613788.2673267326,3339398.8415841586,gauge_11,0
613788.2673267326,3339604.7623762377,gauge_12,0
613788.2673267326,3339810.6831683167,gauge_13,0
613788.2673267326,3340016.6039603963,gauge_14,0
613788.2673267326,3340222.5247524753,gauge_15,0
613788.2673267326,3340428.4455445544,gauge_16,0
613788.2673267326,3340634.3663366335,gauge_17,0
613788.2673267326,3340840.287128713,gauge_18,0
613788.2673267326,3341046.207920792,gauge_19,0
613788.2673267326,3341252.128712871,gauge_110,0
613788.2673267326,3341458.0495049506,gauge_111,0
613788.2673267326,3341663.9702970297,gauge_112,0
613788.2673267326,3341869.891089109,gauge_113,0
613788.2673267326,3342075.8118811883,gauge_114,0
613788.2673267326,3342281.7326732674,gauge_115,0
613788.2673267326,3342487.6534653464,gauge_116,0
613788.2673267326,3342693.574257426,gauge_117,0
613788.2673267326,3342899.495049505,gauge_118,0
613788.2673267326,3343105.415841584,gauge_119,0
613788.2673267326,3343311.336633663,gauge_120,0
613788.2673267326,3343517.2574257427,gauge_121,0
613788.2673267326,3343723.1782178218,gauge_122,0
613788.2673267326,3343929.099009901,gauge_123,0
613788.2673267326,3344135.0198019804,gauge_124,0
613788.2673267326,3344340.9405940594,gauge_125,0
613788.2673267326,3344546.8613861385,gauge_126,0
613788.2673267326,3344752.782178218,gauge_127,0
613788.2673267326,3344958.702970297,gauge_128,0
613788.2673267326,3345164.623762376,gauge_129,0
613788.2673267326,3345370.5445544557,gauge_130,0
613788.2673267326,3345576.4653465347,gauge_131,0
613788.2673267326,3345782.386138614,gauge_132,0
613788.2673267326,3345988.306930693,gauge_133,0
613788.2673267326,3346194.2277227724,gauge_134,0
613788.2673267326,3346400.1485148515,gauge_135,0
613788.2673267326,3346606.0693069305,gauge_136,0
613788.2673267326,3346811.99009901,gauge_137,0
613788.2673267326,3347017.910891089,gauge_138,0
613788.2673267326,3347223.831683168,gauge_139,0
613788.2673267326,3347429.7524752477,gauge_140,0
613788.2673267326,3347635.673267327,gauge_141,0
613788.2673267326,3347841.594059406,gauge_142,0
613788.2673267326,3348047.5148514854,gauge_143,0
